C:\Users\jarau\Desktop\simulator-windows-64\IMG\center_2022_03_15_21_06_21_173.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\left_2022_03_15_21_06_21_173.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\right_2022_03_15_21_06_21_173.jpg, 0, 0, 0, 7.832601E-05
C:\Users\jarau\Desktop\simulator-windows-64\IMG\center_2022_03_15_21_06_21_278.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\left_2022_03_15_21_06_21_278.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\right_2022_03_15_21_06_21_278.jpg, 0, 0, 0, 7.800838E-05
C:\Users\jarau\Desktop\simulator-windows-64\IMG\center_2022_03_15_21_06_21_384.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\left_2022_03_15_21_06_21_384.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\right_2022_03_15_21_06_21_384.jpg, 0, 0, 0, 8.160223E-05
C:\Users\jarau\Desktop\simulator-windows-64\IMG\center_2022_03_15_21_06_21_490.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\left_2022_03_15_21_06_21_490.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\right_2022_03_15_21_06_21_490.jpg, 0, 0, 0, 7.914474E-05
C:\Users\jarau\Desktop\simulator-windows-64\IMG\center_2022_03_15_21_06_21_590.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\left_2022_03_15_21_06_21_590.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\right_2022_03_15_21_06_21_590.jpg, 0, 0, 0, 7.956533E-05
C:\Users\jarau\Desktop\simulator-windows-64\IMG\center_2022_03_15_21_06_21_695.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\left_2022_03_15_21_06_21_695.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\right_2022_03_15_21_06_21_695.jpg, 0, 0, 0, 7.988762E-05
C:\Users\jarau\Desktop\simulator-windows-64\IMG\center_2022_03_15_21_06_21_801.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\left_2022_03_15_21_06_21_801.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\right_2022_03_15_21_06_21_801.jpg, 0, 0, 0, 7.888114E-05
C:\Users\jarau\Desktop\simulator-windows-64\IMG\center_2022_03_15_21_06_21_908.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\left_2022_03_15_21_06_21_908.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\right_2022_03_15_21_06_21_908.jpg, 0, 0, 0, 7.858344E-05
C:\Users\jarau\Desktop\simulator-windows-64\IMG\center_2022_03_15_21_06_22_008.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\left_2022_03_15_21_06_22_008.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\right_2022_03_15_21_06_22_008.jpg, 0, 0, 0, 8.070409E-05
C:\Users\jarau\Desktop\simulator-windows-64\IMG\center_2022_03_15_21_06_22_112.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\left_2022_03_15_21_06_22_112.jpg, C:\Users\jarau\Desktop\simulator-windows-64\IMG\right_2022_03_15_21_06_22_112.jpg, 0, 0, 0, 7.933989E-05
